disease	base	contributing	n_cohorts	cohorts	mean_total_ig	min_total_ig	max_total_ig	mean_ig_gain_pct
IBD; control	Ruminococcus_bicirculans	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.888427734375	26.1973266601562	27.5795288085938	15854.26626827336
IBD; control	Lawsonibacter_asaccharolyticus	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.87725830078125	25.0680999755859	28.6864166259766	29105.600847543057
IBD; control	Anaeromassilibacillus_sp_An250	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.86629486083985	25.6571655273438	28.0754241943359	9630.462775505875
IBD; control	Odoribacter_laneus	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.7691421508789	25.8717803955078	27.66650390625	4224.97665963956
IBD; control	Roseburia_hominis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.72382354736325	25.9187316894531	27.5289154052734	14985.280307635385
IBD; control	GLUTORN-PWY:_L-ornithine_biosynthesis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.6969757080078	26.6441192626953	26.7498321533203	4834.990717714575
IBD; control	Clostridium_paraputrificum	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.5543823242188	24.9586791992188	28.1500854492188	36455.3980860073
IBD; control	Anaerotignum_lactatifermentans	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.537742614746072	25.0506896972656	28.02479553222655	8371.368968539267
IBD; control	Parabacteroides_merdae	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.145614624023423	25.4421691894531	26.84906005859375	15968.050929341398
IBD; control	Roseburia_inulinivorans	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.112701416015597	25.2901458740234	26.9352569580078	1168438.946845627
IBD; control	Turicimonas_muris	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.07170104980465	25.6320648193359	26.5113372802734	303599.92244212236
IBD; control	Roseburia_sp_CAG_303	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	25.69224548339845	25.0689697265625	26.3155212402344	31251.425735443583
